n,x,y,k
1,0.110,0.480,1
2,0.106,0.369,1
3,0.029,0.273,1
4,0.215,0.368,1
5,0.145,0.437,1
6,0.154,0.461,1
7,0.068,0.426,1
8,0.148,0.608,1
9,0.149,0.290,1
10,0.177,0.424,1
11,0.086,0.398,1
12,0.090,0.357,1
13,0.131,0.482,1
14,0.000,0.420,1
15,0.178,0.426,1
16,0.118,0.380,1
17,0.152,0.551,1
18,0.176,0.468,1
19,0.162,0.459,1
20,0.059,0.386,1
21,0.129,0.590,1
22,0.074,0.376,1
23,0.121,0.496,1
24,0.008,0.277,1
25,0.126,0.449,1
26,0.114,0.332,1
27,0.203,0.507,1
28,0.142,0.346,1
29,0.059,0.389,1
30,0.165,0.463,1
31,0.196,0.553,1
32,0.147,0.393,1
33,0.080,0.343,1
34,0.153,0.459,1
35,0.157,0.439,1
36,0.151,0.488,1
37,0.162,0.424,1
38,0.162,0.489,1
39,0.159,0.331,1
40,0.121,0.524,1
41,0.102,0.448,1
42,0.188,0.273,1
43,0.092,0.505,1
44,0.185,0.374,1
45,0.153,0.349,1
46,0.173,0.313,1
47,0.029,0.396,1
48,0.143,0.336,1
49,0.132,0.356,1
50,0.084,0.385,1
51,0.150,0.426,1
52,0.088,0.476,1
53,0.131,0.310,1
54,0.128,0.400,1
55,0.118,0.333,1
56,0.107,0.409,1
57,0.142,0.428,1
58,0.041,0.371,1
59,0.087,0.516,1
60,0.170,0.365,1
61,0.158,0.285,1
62,0.150,0.396,1
63,0.213,0.452,1
64,0.136,0.437,1
65,0.165,0.366,1
66,0.068,0.455,1
67,0.099,0.448,1
68,0.000,0.354,1
69,0.107,0.525,1
70,0.206,0.531,1
71,0.100,0.569,1
72,0.028,0.354,1
73,0.131,0.422,1
74,0.123,0.425,1
75,0.238,0.676,1
76,0.140,0.439,1
77,0.121,0.356,1
78,0.086,0.387,1
79,0.115,0.401,1
80,0.158,0.594,1
81,0.150,0.454,1
82,0.055,0.332,1
83,0.115,0.481,1
84,0.077,0.340,1
85,0.162,0.298,1
86,0.067,0.300,1
87,0.097,0.487,1
88,0.122,0.324,1
89,0.127,0.384,1
90,0.063,0.392,1
91,0.121,0.427,1
92,0.032,0.447,1
93,0.091,0.319,1
94,0.148,0.449,1
95,0.119,0.401,1
96,0.071,0.345,1
97,0.127,0.465,1
98,0.172,0.434,1
99,0.187,0.499,1
100,0.042,0.472,1
101,0.204,0.605,2
102,0.219,0.525,2
103,0.201,0.516,2
104,0.239,0.578,2
105,0.208,0.586,2
106,0.227,0.506,2
107,0.165,0.601,2
108,0.084,0.551,2
109,0.261,0.522,2
110,0.218,0.584,2
111,0.078,0.482,2
112,0.223,0.556,2
113,0.192,0.535,2
114,0.252,0.506,2
115,0.205,0.591,2
116,0.206,0.516,2
117,0.179,0.611,2
118,0.126,0.512,2
119,0.255,0.623,2
120,0.154,0.630,2
121,0.094,0.510,2
122,0.066,0.536,2
123,0.148,0.516,2
124,0.313,0.586,2
125,0.225,0.523,2
126,0.164,0.433,2
127,0.303,0.633,2
128,0.193,0.677,2
129,0.251,0.620,2
130,0.129,0.539,2
131,0.222,0.551,2
132,0.274,0.712,2
133,0.349,0.604,2
134,0.300,0.603,2
135,0.236,0.569,2
136,0.179,0.550,2
137,0.230,0.579,2
138,0.216,0.508,2
139,0.230,0.518,2
140,0.134,0.553,2
141,0.281,0.646,3
142,0.313,0.621,3
143,0.366,0.590,3
144,0.444,0.644,3
145,0.336,0.614,3
146,0.397,0.558,3
147,0.448,0.643,3
148,0.342,0.658,3
149,0.381,0.675,3
150,0.304,0.595,3
151,0.339,0.620,3
152,0.336,0.618,3
153,0.453,0.653,3
154,0.226,0.610,3
155,0.388,0.596,3
156,0.365,0.635,3
157,0.337,0.617,3
158,0.251,0.606,3
159,0.471,0.631,3
160,0.369,0.584,3
161,0.360,0.577,3
162,0.473,0.611,3
163,0.421,0.653,3
164,0.466,0.687,3
165,0.437,0.570,3
166,0.349,0.651,3
167,0.409,0.624,3
168,0.403,0.685,3
169,0.501,0.588,3
170,0.383,0.646,3
171,0.428,0.662,3
172,0.376,0.584,3
173,0.340,0.680,3
174,0.348,0.580,3
175,0.472,0.649,3
176,0.460,0.587,3
177,0.340,0.590,3
178,0.452,0.660,3
179,0.304,0.635,3
180,0.543,0.597,3
181,0.309,0.607,3
182,0.404,0.616,3
183,0.313,0.670,3
184,0.520,0.714,3
185,0.478,0.637,3
186,0.456,0.734,3
187,0.409,0.643,3
188,0.499,0.622,3
189,0.456,0.640,3
190,0.469,0.611,3
191,0.419,0.655,3
192,0.263,0.613,3
193,0.412,0.680,3
194,0.274,0.668,3
195,0.369,0.568,3
196,0.360,0.541,3
197,0.310,0.652,3
198,0.395,0.624,3
199,0.312,0.612,3
200,0.290,0.649,3
201,0.469,0.656,3
202,0.433,0.585,3
203,0.336,0.586,3
204,0.319,0.622,3
205,0.275,0.650,3
206,0.363,0.617,3
207,0.546,0.598,3
208,0.363,0.584,3
209,0.333,0.592,3
210,0.407,0.617,3
211,0.447,0.589,3
212,0.427,0.664,3
213,0.368,0.654,3
214,0.233,0.630,3
215,0.429,0.727,3
216,0.432,0.680,3
217,0.441,0.624,3
218,0.580,0.644,3
219,0.406,0.613,3
220,0.545,0.633,3
221,0.336,0.621,3
222,0.375,0.630,3
223,0.329,0.644,3
224,0.382,0.592,3
225,0.412,0.626,3
226,0.420,0.657,3
227,0.657,0.665,3
228,0.369,0.664,3
229,0.252,0.595,3
230,0.215,0.720,3
231,0.470,0.614,4
232,0.537,0.512,4
233,0.342,0.649,4
234,0.636,0.482,4
235,0.622,0.566,4
236,0.635,0.562,4
237,0.570,0.581,4
238,0.511,0.534,4
239,0.684,0.538,4
240,0.519,0.518,4
241,0.608,0.476,4
242,0.488,0.588,4
243,0.653,0.485,4
244,0.660,0.609,4
245,0.535,0.598,4
246,0.553,0.516,4
247,0.631,0.550,4
248,0.489,0.540,4
249,0.541,0.590,4
250,0.594,0.565,4
251,0.415,0.594,4
252,0.550,0.671,4
253,0.620,0.544,4
254,0.314,0.596,4
255,0.475,0.598,4
256,0.537,0.595,4
257,0.531,0.622,4
258,0.548,0.465,4
259,0.585,0.589,4
260,0.526,0.572,4
261,0.340,0.648,4
262,0.657,0.505,4
263,0.516,0.591,4
264,0.444,0.562,4
265,0.466,0.615,4
266,0.393,0.690,4
267,0.551,0.524,4
268,0.464,0.600,4
269,0.742,0.422,4
270,0.494,0.497,4
271,0.516,0.519,4
272,0.528,0.530,4
273,0.546,0.596,4
274,0.545,0.487,4
275,0.485,0.637,4
276,0.506,0.546,4
277,0.498,0.500,4
278,0.516,0.545,4
279,0.450,0.581,4
280,0.625,0.515,4
281,0.590,0.475,4
282,0.533,0.527,4
283,0.614,0.461,4
284,0.653,0.555,4
285,0.391,0.573,4
286,0.505,0.601,4
287,0.440,0.604,4
288,0.547,0.604,4
289,0.407,0.762,4
290,0.552,0.576,4
291,0.664,0.219,5
292,0.750,0.387,5
293,0.663,0.260,5
294,0.743,0.369,5
295,0.606,0.480,5
296,0.644,0.329,5
297,0.709,0.334,5
298,0.636,0.424,5
299,0.709,0.251,5
300,0.647,0.291,5
301,0.639,0.335,5
302,0.734,0.372,5
303,0.653,0.407,5
304,0.683,0.410,5
305,0.692,0.426,5
306,0.613,0.407,5
307,0.638,0.396,5
308,0.624,0.451,5
309,0.637,0.275,5
310,0.640,0.418,5
311,0.695,0.396,5
312,0.663,0.488,5
313,0.678,0.362,5
314,0.624,0.454,5
315,0.644,0.547,5
316,0.599,0.370,5
317,0.637,0.457,5
318,0.644,0.332,5
319,0.625,0.344,5
320,0.661,0.294,5
321,0.595,0.396,5
322,0.679,0.396,5
323,0.631,0.426,5
324,0.624,0.324,5
325,0.648,0.301,5
326,0.691,0.348,5
327,0.632,0.438,5
